,root:Host-associated:Human:Digestive_system:Large_intestine:Fecal,root:Host-associated:Human:Digestive_system:Oral:Periodontal_pockets,root:Host-associated:Human:Digestive_system:Oral:Saliva,root:Host-associated:Human:Digestive_system:Oral:Subgingival_plaque,root:Host-associated:Human:Digestive_system:Oral:Supragingival_plaque,root:Host-associated:Human:Digestive_system:Oral:Throat,root:Host-associated:Human:Digestive_system:Oral:buccal_mucosa,root:Host-associated:Human:Digestive_system:Oral:tongue_dorsum,root:Host-associated:Human:Reproductive_system:Vagina:posterior_fornix,root:Host-associated:Human:Respiratory_system:Nasopharyngeal:Nasal_cavity,root:Host-associated:Human:Respiratory_system:Nasopharyngeal:Pharynx,root:Host-associated:Human:Respiratory_system:Pulmonary_system:Sputum,Unknown
SRR995272,0.00027552247,1.7391003e-05,0.0003696978,9.324109e-05,0.0006802976,3.761228e-05,0.00015303493,4.856453e-05,2.9400699e-05,0.00013157725,0.00022730231,7.121925e-05,0.99786514
SRR5468013,0.00025993586,2.0556045e-05,0.00047051907,0.00011707752,0.0007585883,3.9060113e-05,0.00016692281,4.225746e-05,3.0905663e-05,0.00013312697,0.00021469593,6.945146e-05,0.9976769
SRR6414264,0.0002746582,1.7520133e-05,0.00037312508,9.4113464e-05,0.0006906092,3.7745664e-05,0.00015437603,4.8666807e-05,2.9490251e-05,0.00013190508,0.00022670627,7.1605806e-05,0.99784946
DRR044316,0.00070962834,0.00029338052,0.9951725,0.0014766998,0.0005501034,0.00026515024,0.00038432493,0.0005202055,0.00011962273,0.0002719696,7.772546e-05,0.00015860178,0.0
ERR561288,0.9893968,2.6867623e-05,0.00016316772,0.00018027425,5.187535e-05,2.359175e-05,4.431112e-05,0.00016862154,2.0383515e-05,4.9908023e-05,5.920155e-05,7.467821e-05,0.009740353
SRR6413976,0.00027552247,1.7391485e-05,0.0003697574,9.324269e-05,0.0006802976,3.761314e-05,0.00015303493,4.8569807e-05,2.9401792e-05,0.00013151765,0.00022730231,7.12206e-05,0.99786514
SRR3647839,0.00079751015,0.00037878752,0.008675188,0.002947718,0.00025439262,0.0045965314,0.007693529,0.0007174909,0.0030912757,0.003965944,0.031347573,0.004609555,0.93092453
SRR5165739,0.9969487,4.785366e-05,0.00023034215,0.0002913475,0.00012677908,2.2800255e-05,8.277752e-05,0.00013160706,3.080541e-05,8.8296656e-05,7.400723e-05,6.1869745e-05,0.001862824
ERR531741,0.9918442,2.3090455e-05,0.00013875961,0.00013667345,4.893609e-05,2.0149499e-05,3.65921e-05,7.3190306e-05,1.656686e-05,4.171893e-05,5.0497627e-05,6.413759e-05,0.007505536
ERR368854,0.0002758205,1.7449083e-05,0.00036984682,9.347248e-05,0.0006801486,3.7720834e-05,0.00015333295,4.9174305e-05,2.95272e-05,0.00013205409,0.00022757053,7.140804e-05,0.99786246
SRR2086889,0.0072613545,0.0433138,0.020332241,0.9032459,0.010455566,0.00054211955,0.0046846275,0.0025264556,0.0010499032,0.0004894115,0.0043106303,0.0017879274,0.0
SRR5165836,0.8667104,0.00013500452,0.0013916194,0.0089463,0.0003053844,6.34307e-05,0.00011165193,0.00015237927,4.2151685e-05,7.629387e-05,0.00029730797,0.00050508976,0.12126291
SRR921142,0.00024473667,2.3639855e-05,0.00036355853,0.00013244152,0.0015421212,0.00019019842,0.00019261241,7.664808e-05,4.8900074e-05,0.00039690733,0.0010893047,0.00022011995,0.9954788
SRR5525186,0.00027552247,1.7396213e-05,0.00036978722,9.326145e-05,0.0006803572,3.7619815e-05,0.00015309453,4.8604743e-05,2.9409224e-05,0.00013154745,0.00022730231,7.123147e-05,0.99786484
SRR5155842,0.9918884,2.266811e-05,0.00013396144,0.00013002753,4.6864225e-05,2.0078658e-05,3.5263885e-05,6.9586444e-05,1.6295897e-05,4.069736e-05,4.8882914e-05,6.396155e-05,0.007483363
ERR2003197,0.99763966,5.81873e-05,0.00026541948,0.00035971403,0.00016438961,2.3571374e-05,0.00010347171,0.00015538931,3.6390706e-05,0.000108129476,8.2474624e-05,6.133198e-05,0.0009418726
ERR1310268,0.99763954,5.8183414e-05,0.00026541948,0.00035971403,0.00016444921,2.3571083e-05,0.00010346391,0.00015541911,3.6388657e-05,0.000108122054,8.247155e-05,6.1332095e-05,0.0009419322
ERR867280,0.9976323,5.8072157e-05,0.00026491284,0.00035873055,0.00016403198,2.3568206e-05,0.00010321241,0.00015512109,3.632143e-05,0.00010787837,8.2356964e-05,6.13734e-05,0.000952065
ERR2738773,0.99763966,5.8187245e-05,0.00026541948,0.00035971403,0.00016438961,2.3571352e-05,0.00010347171,0.00015538931,3.6390706e-05,0.000108129374,8.2474624e-05,6.133186e-05,0.0009418726
DRR050883,6.2323306e-05,0.0004274249,0.0006965101,0.008643419,0.9634378,0.00019401312,0.012299895,0.0010292232,0.0002065599,0.00038042665,0.00024175644,0.00053328276,0.011847317
ERR561254,0.9947709,3.4366738e-05,0.00019010901,0.00020900369,8.179878e-05,2.2102136e-05,5.7320438e-05,0.00010421008,2.2949163e-05,6.170658e-05,6.21577e-05,6.527254e-05,0.0043181777
SRR7449210,0.00028076768,2.069371e-05,0.00037452579,0.000104084036,0.00067433715,4.36477e-05,0.00017470121,9.66042e-05,3.7287275e-05,0.0001603365,0.00024190545,8.054466e-05,0.9977106
SRR1461320,0.991726,2.2566473e-05,0.0001348257,0.00013110042,4.6944293e-05,2.0074178e-05,3.5329256e-05,7.0540176e-05,1.6243981e-05,4.0614927e-05,4.924977e-05,6.41031e-05,0.0076423883
SRR3503329,0.0009047091,0.00014531612,0.8394718,0.0027335882,0.00039705634,0.0001886785,0.00018596649,0.001203835,8.951691e-05,0.00012496114,1.8296547e-05,5.696415e-05,0.15447932
SRR3053357,0.99763966,5.8187245e-05,0.00026541948,0.00035971403,0.00016438961,2.3571352e-05,0.00010347171,0.00015538931,3.6390706e-05,0.000108129374,8.2474624e-05,6.133186e-05,0.0009418726
SRR2005672,0.0003349185,1.7752302e-05,0.00035738945,0.000104621635,0.0006284416,3.596386e-05,0.00014585257,4.833037e-05,2.8206614e-05,0.0001282394,0.00022855401,7.936962e-05,0.99786234
DRR047525,0.0007096879,0.00029338052,0.9951726,0.0014766403,0.00055007363,0.00026515024,0.00038426538,0.00052017573,0.000119623306,0.0002720887,7.77262e-05,0.00015854223,0.0
ERR443711,0.00027561188,1.7390987e-05,0.00036981702,9.324109e-05,0.0006802976,3.7612244e-05,0.00015303493,4.8564434e-05,2.9400671e-05,0.00013148785,0.00022730231,7.121925e-05,0.997865
SRR6394024,0.00027638677,1.7925764e-05,0.0003706217,9.504539e-05,0.0006795526,3.8632123e-05,0.00015652181,5.4700035e-05,3.0635663e-05,0.00013619663,0.00022995473,7.2800125e-05,0.99784106
ERR1385482,0.99763966,5.818752e-05,0.00026541948,0.00035971403,0.00016447902,2.3571396e-05,0.00010347181,0.00015547872,3.6390775e-05,0.00010812969,8.2474624e-05,6.133221e-05,0.0009416938
SRR1618203,0.99763966,5.818691e-05,0.00026538968,0.00035971403,0.00016450882,2.3571734e-05,0.00010347112,0.00015544891,3.6390913e-05,0.000108129585,8.2474464e-05,6.133186e-05,0.0009417534
SRR6309233,0.99763966,5.8187245e-05,0.00026541948,0.00035971403,0.00016438961,2.3571352e-05,0.00010347171,0.00015538931,3.6390706e-05,0.000108129374,8.2474624e-05,6.133186e-05,0.0009418726
ERR719792,0.9976412,5.8259873e-05,0.0002654791,0.00035971403,0.00016444921,2.3586554e-05,0.00010351968,0.00015559793,3.641744e-05,0.0001082182,8.247281e-05,6.1423874e-05,0.0009396076
SRR1661366,0.0007495582,0.00077548623,0.020455658,0.056036144,0.00019228458,4.1353785e-05,0.00021386147,5.8277543e-05,6.310711e-05,9.266542e-05,0.00027287006,6.48857e-05,0.92098385
ERR2511008,0.99763966,5.818769e-05,0.00026538968,0.00035977364,0.00016447902,2.3571441e-05,0.00010347191,0.00015547872,3.6390844e-05,0.00010812999,8.2474624e-05,6.1332445e-05,0.0009416938
SRR6367234,0.0008755028,0.00014737248,0.8444987,0.0026499033,0.0004132688,0.00019165874,0.0001885891,0.0011471808,9.247596e-05,0.00013193488,1.9115825e-05,5.9573704e-05,0.14958471
SRR3361653,0.99301815,2.5427518e-05,0.00014552474,0.00014722347,5.461194e-05,2.0474889e-05,4.020696e-05,7.674683e-05,1.7971926e-05,4.5843757e-05,5.210089e-05,6.363531e-05,0.0062921047
ERR531621,0.99763966,5.8187245e-05,0.00026541948,0.00035971403,0.00016438961,2.3571352e-05,0.00010347171,0.00015538931,3.6390706e-05,0.000108129374,8.2474624e-05,6.133186e-05,0.0009418726
SRR946049,0.00029224157,0.00021764636,0.10692355,0.0010764301,0.001292795,0.0024805665,0.008834839,4.016423e-05,0.0005329251,0.0005916655,0.00016880035,0.0028994083,0.8746489
SRR6932444,0.01938805,2.2023403e-05,0.0005026758,0.0011768043,3.0879033e-05,4.3268496e-06,4.8056034e-05,0.00020450354,4.6640735e-06,2.1738506e-05,9.661148e-05,6.447316e-05,0.9784352
SRR028700,0.00018697979,4.2937005e-05,0.0027727487,0.00018426777,0.00034177306,0.00018125774,0.000121953664,0.00060942775,6.73514e-05,0.00022011997,0.00026604536,6.895885e-05,0.9949362
SRR6414220,0.00016093254,3.7608406e-05,0.0017731786,0.00027492642,0.00567773,4.5056506e-05,0.0005784333,1.3133241e-05,3.080967e-05,0.00014215708,0.00012743473,0.00012247384,0.99101615
ERR2511609,0.9976399,5.8197566e-05,0.0002654791,0.00035965443,0.00016441941,2.357351e-05,0.00010347842,0.00015544891,3.639449e-05,0.00010814196,8.247439e-05,6.134496e-05,0.00094151497
SRR2761194,0.0054994226,3.9608418e-05,0.008783728,0.00047767162,1.4430565e-05,6.3365034e-05,7.7190474e-05,0.0012983382,4.1260188e-05,2.7183838e-05,6.1441744e-05,9.155234e-06,0.98360723
