,root:Host-associated:Human,Unknown
ERR2784687,0.9999927,7.2717667e-06
ERR2511885,0.9999927,7.2717667e-06
ERR1384600,0.9999927,7.2717667e-06
ERR2002149,0.9999927,7.2717667e-06
ERR531474,0.9999927,7.2717667e-06
ERR1383009,0.9999927,7.2717667e-06
DRR018662,0.9999927,7.2717667e-06
ERR1384090,0.9999927,7.2717667e-06
ERR1310126,0.9999927,7.2717667e-06
SRR7449157,0.9999927,7.2717667e-06
ERR441342,0.9999927,7.2717667e-06
SRR6409146,0.9999927,7.2717667e-06
SRR1515174,0.9999927,7.2717667e-06
DRR042033,0.9999927,7.2717667e-06
DRR043972,0.9999927,7.2717667e-06
SRR346812,0.9999927,7.2717667e-06
SRR5415597,0.9999927,7.2717667e-06
ERR531534,0.9999927,7.2717667e-06
ERR1314164,0.9999927,7.2717667e-06
SRR492194,0.9999927,7.2717667e-06
SRR5869295,0.9999927,7.2717667e-06
SRR6931992,0.9999927,7.2717667e-06
ERR1382367,0.9999927,7.2717667e-06
SRR2658038,0.9999927,7.2717667e-06
SRR823269,0.9999927,7.2717667e-06
ERR441786,0.9999927,7.2717667e-06
ERR1311087,0.9999927,7.2717667e-06
ERR719830,0.9999927,7.2717667e-06
ERR1328464,0.9999927,7.2717667e-06
SRR5467730,0.9999927,7.2717667e-06
DRR048120,0.9999927,7.2717667e-06
ERR365945,0.9999927,7.2717667e-06
SRR2005652,0.9999927,7.2717667e-06
ERR1382789,0.9999927,7.2717667e-06
ERR500851,0.9999927,7.2717667e-06
SRR7453710,0.9999927,7.2717667e-06
ERR1385016,0.9999927,7.2717667e-06
ERR450844,0.9999927,7.2717667e-06
ERR2531971,0.9999927,7.2717667e-06
ERR450729,0.9999927,7.2717667e-06
ERR1383439,0.99999267,7.3313713e-06
ERR1384743,0.99999267,7.3313713e-06
SRR1923936,0.9999927,7.2717667e-06
DRR042975,0.9999927,7.2717667e-06
ERR1309908,0.9999927,7.2717667e-06
SRR6409082,0.9999927,7.2717667e-06
SRR3951139,0.9999927,7.2717667e-06
SRR5467820,0.9999927,7.2717667e-06
ERR719813,0.99999267,7.3313713e-06
ERR1383537,0.9999927,7.2717667e-06
SRR934706,0.9999927,7.2717667e-06
ERR451066,0.9999927,7.2717667e-06
DRR029185,0.9999927,7.2717667e-06
SRR5468046,0.9999927,7.2717667e-06
SRR996570,0.9999927,7.2717667e-06
SRR1704622,0.9999927,7.2717667e-06
ERR2739054,0.9999927,7.2717667e-06
SRR995988,0.9999927,7.2717667e-06
SRR1949327,0.9999927,7.2717667e-06
SRR6412141,0.9999927,7.2717667e-06
SRR6028621,0.9999927,7.2717667e-06
ERR500829,0.9999927,7.2717667e-06
ERR1311337,0.9999927,7.2717667e-06
ERR501388,0.9999927,7.2717667e-06
ERR442062,0.9999927,7.2717667e-06
ERR441131,0.9999927,7.2717667e-06
DRR047717,0.9999927,7.2717667e-06
SRR387982,0.9999927,7.2717667e-06
SRR994711,0.9999927,7.2717667e-06
SRR6265623,0.9999927,7.2717667e-06
ERR107045,0.99999267,7.3313713e-06
SRR2980011,0.9999927,7.2717667e-06
ERR531978,0.99999267,7.3313713e-06
ERR2738664,0.9999927,7.2717667e-06
SRR6444979,0.99999267,7.3313713e-06
SRR6028300,0.9999927,7.2717667e-06
ERR1384265,0.9999927,7.2717667e-06
ERR444344,0.9999927,7.2717667e-06
ERR2511518,0.9999927,7.2717667e-06
SRR6028298,0.9999927,7.2717667e-06
SRR3362142,0.9999927,7.2717667e-06
ERR579662,0.9999927,7.2717667e-06
ERR866619,0.9999927,7.2717667e-06
SRR1923882,0.9999927,7.2717667e-06
SRR2145474,0.9999927,7.2717667e-06
ERR451553,0.9999927,7.2717667e-06
ERR2042057,0.9999927,7.2717667e-06
ERR522509,0.9999927,7.2717667e-06
SRR6414157,0.9999927,7.2717667e-06
ERR444484,0.9999927,7.2717667e-06
ERR2806317,0.9999927,7.2717667e-06
ERR1311088,0.9999927,7.2717667e-06
ERR719933,0.9999927,7.2717667e-06
ERR1384933,0.9999927,7.2717667e-06
DRR043139,0.9999927,7.2717667e-06
DRR042961,0.9999927,7.2717667e-06
ERR1811327,0.9999927,7.2717667e-06
SRR3095146,0.9999927,7.2717667e-06
SRR3725765,0.9999927,7.2717667e-06
ERR1310587,0.99999267,7.3313713e-06
ERR1311437,0.9999927,7.2717667e-06
ERR1913002,0.9999927,7.2717667e-06
ERR498626,0.99999255,7.4505806e-06
ERR1529633,0.9999927,7.2717667e-06
SRR6390396,0.9999927,7.2717667e-06
SRR3191074,0.9999927,7.2717667e-06
ERR501116,0.9999927,7.2717667e-06
SRR3647635,0.9999927,7.2717667e-06
SRR1145322,0.9999927,7.2717667e-06
SRR1145321,0.9999927,7.2717667e-06
ERR441240,0.9999927,7.2717667e-06
ERR1310683,0.9999927,7.2717667e-06
SRR5869744,0.9999927,7.2717667e-06
SRR5155811,0.9999927,7.2717667e-06
ERR1315656,0.9999927,7.2717667e-06
SRR1617877,0.9999927,7.2717667e-06
SRR6028541,0.9999927,7.2717667e-06
SRR6038307,0.9999927,7.2717667e-06
SRR3035114,0.9999927,7.2717667e-06
ERR532072,0.9999927,7.2717667e-06
ERR531455,0.9999927,7.2717667e-06
SRR6418309,0.9999927,7.2717667e-06
DRR030612,0.9999927,7.2717667e-06
ERR719573,0.9999927,7.2717667e-06
ERR532182,0.9999927,7.2717667e-06
SRR6038327,0.9999927,7.2717667e-06
ERR494360,0.9999927,7.2717667e-06
SRR2143777,0.9999927,7.2717667e-06
ERR2511010,0.9999926,7.390976e-06
SRR1461371,0.9999927,7.2717667e-06
SRR5868655,0.9999927,7.2717667e-06
ERR441175,0.9999927,7.2717667e-06
ERR2198081,0.9999927,7.2717667e-06
ERR1960762,0.9999927,7.2717667e-06
ERR499518,0.9999927,7.2717667e-06
SRR3191024,0.9999927,7.2717667e-06
SRR995305,0.9999927,7.2717667e-06
SRR1461211,0.9999927,7.2717667e-06
ERR501025,0.9999927,7.2717667e-06
SRR6408645,0.9999927,7.2717667e-06
ERR209585,0.9999927,7.2717667e-06
ERR532023,0.9999927,7.2717667e-06
SRR7449174,0.9999927,7.2717667e-06
DRR047555,0.9999927,7.2717667e-06
ERR499096,0.9999927,7.2717667e-06
ERR500301,0.9999927,7.2717667e-06
SRR2981510,0.9999927,7.2717667e-06
ERR209299,0.9999927,7.2717667e-06
ERR1384364,0.9999927,7.2717667e-06
SRR6414049,0.9999927,7.2717667e-06
ERR1310097,0.9999927,7.2717667e-06
ERR501357,0.9999927,7.2717667e-06
SRR7449315,0.9999927,7.2717667e-06
ERR2738767,0.9999927,7.2717667e-06
DRR042904,0.9999927,7.2717667e-06
SRR5156057,0.99999267,7.3313713e-06
SRR6309303,0.9999927,7.2717667e-06
ERR1310653,0.9999927,7.2717667e-06
ERR520769,0.9999927,7.2717667e-06
ERR499728,0.9999927,7.2717667e-06
SRR1461302,0.9999927,7.2717667e-06
SRR7449296,0.9999927,7.2717667e-06
SRR5869441,0.9999927,7.2717667e-06
ERR1314150,0.9999927,7.2717667e-06
SRR5155799,0.9999927,7.2717667e-06
ERR1384142,0.9999927,7.2717667e-06
ERR444167,0.9999927,7.2717667e-06
ERR1384366,0.9999927,7.2717667e-06
ERR1109629,0.9999927,7.2717667e-06
SRR6412129,0.9999927,7.2717667e-06
SRR2976498,0.9999927,7.2717667e-06
ERR2538435,0.9999927,7.2717667e-06
ERR500741,0.9999927,7.2717667e-06
ERR1385211,0.9999927,7.2717667e-06
ERR579564,0.9999927,7.2717667e-06
ERR209138,0.9999927,7.2717667e-06
SRR2163545,0.9999927,7.2717667e-06
SRR7453596,0.9999927,7.2717667e-06
ERR1913065,0.9999927,7.2717667e-06
ERR498652,0.9999927,7.2717667e-06
SRR2657982,0.9999927,7.2717667e-06
SRR1948864,0.9999927,7.2717667e-06
DRR047618,0.9999927,7.2717667e-06
ERR525918,0.9999927,7.2717667e-06
SRR1743142,0.9999927,7.2717667e-06
ERR867423,0.9999927,7.2717667e-06
SRR346815,0.9999927,7.2717667e-06
SRR6367336,0.9999927,7.2717667e-06
SRR6411851,0.9999927,7.2717667e-06
ERR1315538,0.9999927,7.2717667e-06
SRR6309233,0.9999927,7.2717667e-06
SRR6038281,0.9999927,7.2717667e-06
SRR6412060,0.9999927,7.2717667e-06
DRR024150,0.9999927,7.2717667e-06
SRR3503423,0.9999927,7.2717667e-06
ERR2511736,0.9999927,7.2717667e-06
ERR499729,0.9999927,7.2717667e-06
SRR920915,0.9999927,7.2717667e-06
ERR441067,0.9999927,7.2717667e-06
SRR1145267,0.9999927,7.2717667e-06
ERR1109487,0.9999927,7.2717667e-06
ERR522598,0.9999927,7.2717667e-06
SRR5869178,0.9999927,7.2717667e-06
SRR1949026,0.9999927,7.2717667e-06
ERR1328396,0.9999927,7.2717667e-06
ERR866740,0.9999927,7.2717667e-06
SRR6413848,0.9999927,7.2717667e-06
ERR1314854,0.9999927,7.2717667e-06
ERR867062,0.9999927,7.2717667e-06
SRR5156084,0.9999927,7.2717667e-06
SRR2145318,0.9999927,7.2717667e-06
ERR695604,0.9999927,7.2717667e-06
SRR1618188,0.9999927,7.2717667e-06
SRR6451737,0.9999927,7.2717667e-06
ERR520880,0.9999927,7.2717667e-06
DRR043031,0.9999927,7.2717667e-06
SRR3094829,0.9999927,7.2717667e-06
SRR5644030,0.9999927,7.2717667e-06
ERR441832,0.9999927,7.2717667e-06
SRR5467834,0.9999927,7.2717667e-06
ERR499431,0.9999927,7.2717667e-06
SRR7453251,0.9999927,7.2717667e-06
SRR6264562,0.9999927,7.2717667e-06
ERR883447,0.9999927,7.2717667e-06
SRR2145587,0.9999927,7.2717667e-06
SRR5156062,0.9999927,7.2717667e-06
SRR1743136,0.9999927,7.2717667e-06
ERR2001913,0.9999927,7.2717667e-06
ERR2739345,0.9999927,7.2717667e-06
SRR5643944,0.9999927,7.2717667e-06
SRR5869510,0.9999927,7.2717667e-06
SRR5165877,0.9999927,7.2717667e-06
ERR106950,0.9999927,7.2717667e-06
SRR6931618,0.9999927,7.2717667e-06
ERR498669,0.9999927,7.2717667e-06
SRR5869612,0.9999927,7.2717667e-06
ERR525705,0.9999927,7.2717667e-06
SRR7454124,0.9999927,7.2717667e-06
ERR3040032,0.9999927,7.2717667e-06
ERR107157,0.9999927,7.2717667e-06
SRR3647671,0.9999927,7.2717667e-06
SRR1583586,0.9999927,7.2717667e-06
SRR3037291,0.9999927,7.2717667e-06
ERR3005970,0.9999927,7.2717667e-06
SRR6444675,0.9999927,7.2717667e-06
ERR2538446,0.9999927,7.2717667e-06
ERR1701230,0.9999927,7.2717667e-06
ERR1912975,0.9999927,7.2717667e-06
ERR499697,0.9999927,7.2717667e-06
ERR522684,0.9999927,7.2717667e-06
ERR2511395,0.9999927,7.2717667e-06
SRR2010527,0.9999927,7.2717667e-06
SRR6444866,0.9999927,7.2717667e-06
SRR6264590,0.9999927,7.2717667e-06
SRR2761381,0.9999927,7.2717667e-06
SRR6028567,0.9999927,7.2717667e-06
SRR6264635,0.9999927,7.2717667e-06
ERR1384465,0.9999927,7.2717667e-06
ERR499519,0.9999927,7.2717667e-06
ERR498584,0.9999927,7.2717667e-06
ERR3006039,0.99999267,7.3313713e-06
SRR6932281,0.9999927,7.2717667e-06
ERR579493,0.9999927,7.2717667e-06
ERR719650,0.9999927,7.2717667e-06
ERR1310029,0.9999927,7.2717667e-06
ERR1019826,0.9999927,7.2717667e-06
ERR107162,0.9999927,7.2717667e-06
ERR2666927,0.9999927,7.2717667e-06
ERR106978,0.9999927,7.2717667e-06
SRR3037255,0.9999927,7.2717667e-06
DRR060313,0.9999927,7.2717667e-06
SRR2145289,0.9999927,7.2717667e-06
SRR3503237,0.9999927,7.2717667e-06
SRR6444656,0.9999927,7.2717667e-06
SRR3951074,0.9999927,7.2717667e-06
SRR7704546,0.9999927,7.2717667e-06
SRR5467986,0.9999927,7.2717667e-06
SRR7449024,0.9999927,7.2717667e-06
SRR6054446,0.99999267,7.3313713e-06
SRR7453788,0.9999927,7.2717667e-06
DRR018687,0.9999927,7.2717667e-06
ERR522294,0.9999927,7.2717667e-06
ERR2730208,0.9999927,7.2717667e-06
ERR1811198,0.9999927,7.2717667e-06
ERR983869,0.9999927,7.2717667e-06
SRR3030640,0.9999927,7.2717667e-06
ERR2002121,0.99999285,7.1525574e-06
ERR1315418,0.99999285,7.1525574e-06
ERR444482,0.9999927,7.2717667e-06
SRR6444610,0.9999927,7.2717667e-06
ERR532004,0.9999927,7.2717667e-06
ERR1314115,0.9999927,7.2717667e-06
SRR7453385,0.9999927,7.2717667e-06
SRR6931810,0.9999927,7.2717667e-06
DRR050852,0.9999927,7.2717667e-06
SRR6932530,0.9999927,7.2717667e-06
ERR1551326,0.9999927,7.2717667e-06
ERR718998,0.9999927,7.2717667e-06
ERR107156,0.99999285,7.1525574e-06
SRR996831,0.9999927,7.2717667e-06
DRR044045,0.9999927,7.2717667e-06
SRR7449038,0.9999927,7.2717667e-06
ERR2511767,0.9999927,7.2717667e-06
SRR995179,0.9999927,7.2717667e-06
DRR047654,0.9999927,7.2717667e-06
SRR6465484,0.9999927,7.2717667e-06
SRR6931456,0.9999927,7.2717667e-06
ERR2198011,0.9999927,7.2717667e-06
ERR1971269,0.9999927,7.2717667e-06
ERR107067,0.9999927,7.2717667e-06
ERR209540,0.9999927,7.2717667e-06
ERR1811148,0.9999927,7.2717667e-06
SRR5688135,0.9999927,7.2717667e-06
ERR1313736,0.9999927,7.2717667e-06
ERR1382337,0.9999927,7.2717667e-06
SRR995566,0.9999927,7.2717667e-06
DRR042955,0.9999927,7.2717667e-06
ERR3005953,0.9999927,7.2717667e-06
ERR1558911,0.9999927,7.2717667e-06
ERR1315692,0.9999927,7.2717667e-06
ERR443454,0.9999927,7.2717667e-06
SRR1949351,0.9999927,7.2717667e-06
ERR1384471,0.9999927,7.2717667e-06
DRR043783,0.9999927,7.2717667e-06
ERR494351,0.9999927,7.2717667e-06
SRR6411835,0.9999927,7.2717667e-06
SRR7453359,0.9999927,7.2717667e-06
SRR5947933,0.9999927,7.2717667e-06
SRR6411800,0.9999927,7.2717667e-06
ERR2309167,0.9999927,7.2717667e-06
ERR2511730,0.99999285,7.1525574e-06
ERR1384875,0.9999927,7.2717667e-06
SRR920741,0.9999927,7.2717667e-06
ERR1310464,0.9999927,7.2717667e-06
SRR5467543,0.9999927,7.2717667e-06
SRR2145481,0.9999927,7.2717667e-06
ERR719660,0.9999927,7.2717667e-06
SRR3037150,0.9999927,7.2717667e-06
ERR451293,0.9999927,7.2717667e-06
ERR499038,0.9999927,7.2717667e-06
ERR444726,0.9999927,7.2717667e-06
ERR719330,0.9999927,7.2717667e-06
SRR7453444,0.9999927,7.2717667e-06
ERR579586,0.9999927,7.2717667e-06
ERR1383831,0.9999927,7.2717667e-06
ERR1384428,0.9999927,7.2717667e-06
ERR1384856,0.9999927,7.2717667e-06
SRR6931680,0.9999927,7.2717667e-06
SRR6264320,0.9999927,7.2717667e-06
SRR6054420,0.9999927,7.2717667e-06
ERR1912950,0.9999927,7.2717667e-06
ERR441099,0.9999927,7.2717667e-06
ERR501255,0.9999927,7.2717667e-06
ERR500691,0.9999927,7.2717667e-06
SRR3361476,0.9999927,7.2717667e-06
SRR6408870,0.9999927,7.2717667e-06
ERR719605,0.9999927,7.2717667e-06
SRR1618204,0.9999927,7.2717667e-06
SRR2046655,0.9999927,7.2717667e-06
SRR6264920,0.9999927,7.2717667e-06
SRR5983364,0.9999927,7.2717667e-06
SRR6932126,0.9999927,7.2717667e-06
SRR7453351,0.9999927,7.2717667e-06
ERR1109522,0.9999927,7.2717667e-06
SRR6264119,0.9999927,7.2717667e-06
ERR1759926,0.9999927,7.2717667e-06
ERR1311426,0.9999927,7.2717667e-06
ERR2511833,0.9999927,7.2717667e-06
DRR043768,0.9999927,7.2717667e-06
ERR1314838,0.9999927,7.2717667e-06
SRR6412000,0.9999927,7.2717667e-06
DRR068198,0.9999927,7.2717667e-06
SRR5155964,0.9999927,7.2717667e-06
SRR5724731,0.9999927,7.2717667e-06
ERR441487,0.9999927,7.2717667e-06
SRR3362117,0.9999927,7.2717667e-06
ERR501213,0.9999927,7.2717667e-06
ERR719891,0.9999927,7.2717667e-06
ERR441103,0.9999927,7.2717667e-06
ERR494369,0.9999927,7.2717667e-06
ERR1311582,0.9999927,7.2717667e-06
SRR1949296,0.9999927,7.2717667e-06
SRR6408800,0.9999927,7.2717667e-06
SRR3660081,0.9999927,7.2717667e-06
ERR1313424,0.9999927,7.2717667e-06
SRR6451740,0.9999927,7.2717667e-06
SRR6367293,0.9999927,7.2717667e-06
SRR1660130,0.9999927,7.2717667e-06
ERR2738807,0.9999927,7.2717667e-06
SRR6411841,0.9999927,7.2717667e-06
SRR6054698,0.9999927,7.2717667e-06
ERR1311118,0.9999927,7.2717667e-06
SRR7448542,0.9999927,7.2717667e-06
ERR107192,0.9999927,7.2717667e-06
SRR1923920,0.9999927,7.2717667e-06
SRR995475,0.9999927,7.2717667e-06
SRR1948904,0.9999927,7.2717667e-06
SRR3053259,0.9999927,7.2717667e-06
SRR3191060,0.9999927,7.2717667e-06
ERR2538479,0.9999927,7.2717667e-06
ERR531914,0.99999267,7.3313713e-06
SRR7453767,0.9999927,7.2717667e-06
ERR1315515,0.9999927,7.2717667e-06
SRR1618029,0.9999927,7.2717667e-06
SRR6264963,0.9999927,7.2717667e-06
ERR1310040,0.9999927,7.2717667e-06
ERR525915,0.9999927,7.2717667e-06
SRR7453698,0.9999927,7.2717667e-06
ERR1315524,0.9999927,7.2717667e-06
SRR2761091,0.9999927,7.2717667e-06
ERR2531895,0.9999927,7.2717667e-06
SRR2657963,0.9999927,7.2717667e-06
ERR1384233,0.9999927,7.2717667e-06
ERR500249,0.9999927,7.2717667e-06
SRR2046710,0.9999927,7.2717667e-06
ERR883464,0.9999927,7.2717667e-06
ERR498706,0.9999927,7.2717667e-06
ERR2738644,0.9999927,7.2717667e-06
SRR5643992,0.9999927,7.2717667e-06
ERR525965,0.9999927,7.2717667e-06
SRR2761080,0.9999927,7.2717667e-06
SRR7454108,0.9999927,7.2717667e-06
SRR1145368,0.9999927,7.2717667e-06
SRR6038237,0.9999927,7.2717667e-06
ERR2739328,0.9999927,7.2717667e-06
ERR441582,0.9999927,7.2717667e-06
SRR2155030,0.9999927,7.2717667e-06
SRR6038185,0.9999927,7.2717667e-06
SRR387938,0.9999927,7.2717667e-06
ERR531550,0.99999285,7.1525574e-06
ERR2011854,0.9999927,7.2717667e-06
SRR6444193,0.9999927,7.2717667e-06
SRR6931644,0.9999927,7.2717667e-06
ERR498560,0.9999927,7.2717667e-06
SRR5165854,0.9999927,7.2717667e-06
SRR1704181,0.9999927,7.2717667e-06
SRR6393964,0.9999927,7.2717667e-06
ERR500680,0.9999927,7.2717667e-06
ERR1384337,0.9999927,7.2717667e-06
DRR042004,0.9999927,7.2717667e-06
ERR441720,0.9999927,7.2717667e-06
SRR6444518,0.9999927,7.2717667e-06
ERR560601,0.9999927,7.2717667e-06
SRR6028545,0.9999927,7.2717667e-06
ERR1310675,0.9999927,7.2717667e-06
DRR047839,0.9999927,7.2717667e-06
SRR2143692,0.9999927,7.2717667e-06
ERR2002099,0.9999927,7.2717667e-06
ERR1314320,0.9999927,7.2717667e-06
ERR441316,0.9999927,7.2717667e-06
SRR6931271,0.9999927,7.2717667e-06
ERR425038,0.9999927,7.2717667e-06
SRR2143762,0.9999927,7.2717667e-06
ERR441271,0.9999927,7.2717667e-06
SRR6408888,0.9999927,7.2717667e-06
ERR719625,0.9999927,7.2717667e-06
SRR6038351,0.9999927,7.2717667e-06
SRR2143847,0.9999927,7.2717667e-06
ERR2538415,0.9999927,7.2717667e-06
ERR2563736,0.9999927,7.2717667e-06
SRR6264241,0.9999927,7.2717667e-06
SRR1618308,0.9999927,7.2717667e-06
ERR526087,0.9999927,7.2717667e-06
ERR1310460,0.9999927,7.2717667e-06
DRR014363,0.9999927,7.2717667e-06
SRR7449308,0.9999927,7.2717667e-06
SRR3094956,0.9999927,7.2717667e-06
SRR384892,0.9999927,7.2717667e-06
ERR1382293,0.9999927,7.2717667e-06
SRR7453650,0.9999927,7.2717667e-06
ERR2784692,0.9999927,7.2717667e-06
ERR499967,0.9999927,7.2717667e-06
ERR500701,0.9999927,7.2717667e-06
ERR719544,0.9999927,7.2717667e-06
SRR6931475,0.9999927,7.2717667e-06
DRR048147,0.9999927,7.2717667e-06
SRR1623064,0.9999927,7.2717667e-06
SRR7448932,0.9999927,7.2717667e-06
SRR6409260,0.9999927,7.2717667e-06
SRR6393682,0.9999927,7.2717667e-06
ERR441404,0.9999927,7.2717667e-06
SRR919559,0.9999927,7.2717667e-06
SRR2658303,0.9999927,7.2717667e-06
SRR505235,0.9999927,7.2717667e-06
SRR5687912,0.99999267,7.3313713e-06
ERR1713099,0.9999927,7.2717667e-06
SRR7448946,0.9999927,7.2717667e-06
ERR560580,0.9999927,7.2717667e-06
SRR5165981,0.9999927,7.2717667e-06
ERR444523,0.9999927,7.2717667e-06
SRR1556830,0.9999927,7.2717667e-06
ERR1109543,0.9999927,7.2717667e-06
ERR1311526,0.9999927,7.2717667e-06
SRR6028516,0.9999927,7.2717667e-06
ERR2511546,0.9999927,7.2717667e-06
ERR1960692,0.9999927,7.2717667e-06
ERR1109482,0.9999927,7.2717667e-06
ERR1309996,0.9999927,7.2717667e-06
SRR6365011,0.9999927,7.2717667e-06
SRR7453802,0.9999927,7.2717667e-06
ERR1384249,0.9999927,7.2717667e-06
SRR6932065,0.9999927,7.2717667e-06
SRR986779,0.9999927,7.2717667e-06
SRR6054663,0.99999267,7.3313713e-06
ERR1384348,0.9999927,7.2717667e-06
ERR719848,0.9999927,7.2717667e-06
ERR1311183,0.9999927,7.2717667e-06
DRR047738,0.9999927,7.2717667e-06
SRR920661,0.9999927,7.2717667e-06
ERR2511375,0.9999927,7.2717667e-06
ERR1310240,0.9999927,7.2717667e-06
SRR6367221,0.9999927,7.2717667e-06
ERR719924,0.9999927,7.2717667e-06
ERR1811341,0.9999927,7.2717667e-06
ERR531820,0.9999927,7.2717667e-06
ERR2198634,0.9999927,7.2717667e-06
ERR532030,0.9999927,7.2717667e-06
DRR047535,0.9999927,7.2717667e-06
SRR1299265,0.9999927,7.2717667e-06
SRR7453310,0.9999927,7.2717667e-06
SRR1950747,0.9999927,7.2717667e-06
SRR6393959,0.9999927,7.2717667e-06
SRR387670,0.9999927,7.2717667e-06
ERR209082,0.9999927,7.2717667e-06
SRR6386070,0.9999927,7.2717667e-06
DRR047707,0.9999927,7.2717667e-06
ERR500616,0.9999927,7.2717667e-06
ERR441968,0.9999927,7.2717667e-06
SRR5196422,0.9999927,7.2717667e-06
SRR3647789,0.9999927,7.2717667e-06
ERR719566,0.9999927,7.2717667e-06
ERR441768,0.9999927,7.2717667e-06
SRR7448539,0.9999927,7.2717667e-06
SRR6931170,0.9999927,7.2717667e-06
ERR2531916,0.9999927,7.2717667e-06
SRR6444959,0.9999927,7.2717667e-06
ERR498896,0.9999927,7.2717667e-06
DRR048260,0.9999927,7.2717667e-06
DRR030570,0.9999927,7.2717667e-06
SRR7453891,0.9999927,7.2717667e-06
SRR3503344,0.9999927,7.2717667e-06
SRR2010446,0.9999927,7.2717667e-06
DRR044358,0.9999927,7.2717667e-06
SRR1631388,0.9999927,7.2717667e-06
ERR499978,0.9999927,7.2717667e-06
SRR6931438,0.9999927,7.2717667e-06
ERR499179,0.9999927,7.2717667e-06
SRR6239887,0.9999927,7.2717667e-06
SRR3503312,0.9999927,7.2717667e-06
ERR1383191,0.9999927,7.2717667e-06
ERR1759930,0.9999927,7.2717667e-06
ERR522581,0.9999927,7.2717667e-06
ERR2511804,0.99999285,7.1525574e-06
ERR501082,0.9999927,7.2717667e-06
ERR1315744,0.9999927,7.2717667e-06
SRR7453397,0.9999927,7.2717667e-06
SRR3361679,0.9999927,7.2717667e-06
ERR720183,0.9999927,7.2717667e-06
SRR505237,0.9999927,7.2717667e-06
SRR7453700,0.9999927,7.2717667e-06
ERR499750,0.9999927,7.2717667e-06
SRR5520108,0.9999927,7.2717667e-06
ERR368858,0.9999927,7.2717667e-06
DRR048018,0.9999927,7.2717667e-06
SRR6444803,0.9999927,7.2717667e-06
SRR1617865,0.9999927,7.2717667e-06
SRR3503352,0.9999927,7.2717667e-06
SRR5178144,0.9999927,7.2717667e-06
SRR6408691,0.9999927,7.2717667e-06
ERR209817,0.9999927,7.2717667e-06
ERR1385298,0.9999927,7.2717667e-06
ERR139535,0.9999927,7.2717667e-06
DRR047720,0.9999927,7.2717667e-06
DRR047704,0.9999927,7.2717667e-06
ERR1759974,0.9999927,7.2717667e-06
SRR6265102,0.9999927,7.2717667e-06
ERR2849273,0.9999927,7.2717667e-06
ERR579430,0.9999927,7.2717667e-06
SRR3361695,0.9999927,7.2717667e-06
ERR368913,0.9999927,7.2717667e-06
ERR1310047,0.9999927,7.2717667e-06
DRR029209,0.9999927,7.2717667e-06
ERR139053,0.9999927,7.2717667e-06
ERR2011950,0.9999927,7.2717667e-06
SRR995492,0.9999927,7.2717667e-06
ERR499907,0.9999927,7.2717667e-06
SRR5467955,0.9999927,7.2717667e-06
SRR6444608,0.9999927,7.2717667e-06
SRR3503325,0.9999927,7.2717667e-06
DRR068117,0.9999927,7.2717667e-06
SRR5156093,0.9999927,7.2717667e-06
SRR6931713,0.9999927,7.2717667e-06
ERR2784674,0.9999927,7.2717667e-06
ERR2738900,0.9999927,7.2717667e-06
DRR050834,0.9999927,7.2717667e-06
SRR6409021,0.9999927,7.2717667e-06
SRR6444307,0.9999927,7.2717667e-06
ERR2739291,0.9999927,7.2717667e-06
SRR921100,0.9999927,7.2717667e-06
ERR1759898,0.9999927,7.2717667e-06
SRR6054561,0.9999927,7.2717667e-06
ERR983886,0.9999927,7.2717667e-06
ERR2538430,0.9999927,7.2717667e-06
ERR2738786,0.9999927,7.2717667e-06
SRR995141,0.9999927,7.2717667e-06
SRR6028164,0.9999927,7.2717667e-06
SRR994794,0.9999927,7.2717667e-06
SRR2145605,0.9999927,7.2717667e-06
SRR6932458,0.9999927,7.2717667e-06
SRR388011,0.9999927,7.2717667e-06
SRR2046587,0.9999927,7.2717667e-06
ERR1384679,0.9999927,7.2717667e-06
SRR6264797,0.9999927,7.2717667e-06
DRR047483,0.9999927,7.2717667e-06
ERR522105,0.9999927,7.2717667e-06
SRR388034,0.9999927,7.2717667e-06
SRR6265432,0.99999267,7.3313713e-06
SRR3933907,0.9999927,7.2717667e-06
SRR3095168,0.9999927,7.2717667e-06
SRR995309,0.9999927,7.2717667e-06
SRR3094687,0.9999927,7.2717667e-06
ERR500291,0.9999927,7.2717667e-06
SRR6444592,0.9999927,7.2717667e-06
SRR7449352,0.9999927,7.2717667e-06
SRR996349,0.9999927,7.2717667e-06
ERR499658,0.9999927,7.2717667e-06
ERR2511951,0.9999927,7.2717667e-06
ERR720127,0.9999927,7.2717667e-06
SRR1617770,0.9999927,7.2717667e-06
ERR1382342,0.99999285,7.1525574e-06
ERR1971173,0.9999927,7.2717667e-06
ERR1315012,0.9999927,7.2717667e-06
SRR8356292,0.9999927,7.2717667e-06
ERR1598985,0.9999927,7.2717667e-06
SRR5156044,0.9999927,7.2717667e-06
SRR5165815,0.9999927,7.2717667e-06
ERR1311644,0.9999927,7.2717667e-06
ERR499755,0.9999926,7.390976e-06
SRR3094975,0.9999927,7.2717667e-06
ERR1328344,0.9999927,7.2717667e-06
SRR2761269,0.9999927,7.2717667e-06
ERR531525,0.9999927,7.2717667e-06
ERR720125,0.9999927,7.2717667e-06
ERR520676,0.9999927,7.2717667e-06
SRR1633134,0.9999927,7.2717667e-06
ERR719723,0.99999267,7.3313713e-06
