,root:Diseases:Digestive System Diseases:Gastrointestinal Diseases,root:Diseases:Digestive System Diseases:Liver Diseases,root:Diseases:Hemic and Lymphatic Diseases:Hematologic Diseases,root:Infections:Bacterial Infections and Mycoses:Bacterial Infections,Unknown
SRR5078591,0.8460636,0.0004721582,0.0019076765,0.037781656,0.113774836
SRR5761766,0.018598676,0.0026539564,0.0009303689,0.0022746325,0.97554237
SRR5020909,0.054898232,0.07947242,0.0059824586,0.0015049577,0.8581419
SRR5802394,0.0076994,0.0008405447,0.0007893741,0.0027568936,0.9879138
SRR6185178,0.011406243,0.00096175075,0.00064873695,0.0030822456,0.983901
ERR209367,0.016622633,0.0018185973,0.0011781752,0.0027861893,0.9775944
SRR6901829,0.88790244,0.046093136,0.0011752844,0.004192084,0.060636997
ERR720215,0.0210827,0.0010963678,0.00062194467,0.0038211048,0.9733779
SRR1693217,0.9540098,0.016092807,0.00086539984,0.009619117,0.019412935
SRR5399496,0.0071278512,0.0007069707,0.00080129504,0.0028633475,0.98850054
SRR7507674,0.031637073,0.0069012046,0.0033928156,0.00154832,0.95652056
SRR5020895,0.9554057,0.0096408725,0.0006916821,0.009558678,0.024703026
ERR720031,0.007463038,0.00076314807,0.0007673502,0.0027579665,0.98824847
SRR1930138,0.011039317,0.0015413761,0.0010028183,0.0026662648,0.9837502
SRR6474214,0.009342909,0.0010028183,0.00079625845,0.0029127598,0.9859452
SRR7507396,0.05886835,0.008326322,0.0013089478,0.0020256639,0.9294707
SRR6330896,0.0073716044,0.0009651482,0.0009848773,0.0028591752,0.9878192
SRR5610114,0.0076513886,0.0007968545,0.0007568002,0.002735734,0.9880592
SRR5580641,0.007478982,0.0008417368,0.0009226501,0.0030469596,0.98770964
SRR5202958,0.008841038,0.001300782,0.0012685657,0.0031273663,0.98546225
SRR7690087,0.0073279142,0.00070112944,0.0007509887,0.0027619898,0.988458
SRR5020875,0.026584359,0.00018989037,0.021829557,0.95139617,0.0
SRR5637737,0.007320702,0.0006990433,0.0007509887,0.0027625859,0.9884667
SRR2918740,0.21196711,0.0008724928,0.0005222261,0.007651031,0.77898717
ERR209402,0.009866297,0.0015272498,0.0010238886,0.002651453,0.9849311
SRR2914201,0.007245213,0.0006952286,0.00077301264,0.0028209984,0.98846555
ERR525689,0.30826205,0.00034552813,0.0002568066,0.019999206,0.6711364
ERR525791,0.02956438,0.02044788,0.00217551,0.0030411482,0.94477105
ERR719654,0.011786938,0.0011933744,0.00093099475,0.0035409033,0.98254776
SRR5399199,0.026584355,0.00018997841,0.021829523,0.9513961,0.0
