,root:Engineered:Food_production:Dairy_products,root:Environmental:Aquatic:Thermal_springs,root:Environmental:Terrestrial:Deep_subsurface,root:Environmental:Terrestrial:Soil,root:Host-associated:Birds:Digestive_system,root:Host-associated:Human:Digestive_system,root:Host-associated:Human:Reproductive_system,root:Host-associated:Human:Respiratory_system,root:Host-associated:Human:Skin,root:Host-associated:Mammals:Digestive_system,root:Host-associated:Mammals:Gastrointestinal_tract,root:Host-associated:Plants:Root,Unknown
ERR1598800,2.8633965e-05,0.00022678282,8.937586e-05,0.00034809703,3.3390184e-05,0.9977572,0.0005075658,0.00071326084,2.2189775e-05,0.00015568608,0.00011364757,4.213135e-06,0.0
ERR1598162,2.9574885e-05,3.0197796e-05,1.9762956e-05,5.0128452e-05,3.622326e-05,0.9975965,0.0009954792,0.0003375061,1.897023e-05,0.00043339597,0.00044742643,4.77794e-06,0.0
ERR1598898,4.8103713e-05,0.000116108145,2.1054175e-05,1.0923949e-05,0.00013210396,0.9578333,0.041267566,1.4668748e-05,3.2418553e-05,0.00033089978,4.451803e-05,0.00014839155,0.0
ERR1598130,1.3721893e-05,0.00013777614,6.2139625e-05,0.00016400218,3.5782134e-05,0.99765396,0.0005647838,0.0005288422,1.1458567e-05,0.00033143163,0.0003710091,5.1032075e-06,0.000119924545
ERR1599411,2.055493e-05,2.4035227e-05,1.490582e-05,3.284941e-05,3.7196147e-05,0.99713707,0.0012607892,0.00030791495,1.3996006e-05,0.0005363939,0.0006096346,4.6728137e-06,0.0
ERR1599067,6.857182e-05,0.00013012819,6.838368e-05,0.00028770504,4.1742423e-05,0.99756366,0.0007033353,0.0006596615,4.609577e-05,0.0002261688,0.00019821401,6.3663956e-06,0.0
ERR1599425,2.716922e-05,5.5187593e-05,2.9747891e-05,8.2467e-05,3.4739758e-05,0.9978382,0.00082953315,0.00040922486,1.822261e-05,0.0003450777,0.00032591994,4.5411207e-06,0.0
ERR1599383,8.4194486e-05,0.00013338082,6.068692e-05,0.00015499083,4.0726918e-05,0.9969994,0.00064401416,0.00056980783,5.4895077e-05,0.0005608781,0.00068774016,9.294959e-06,0.0
ERR1599299,2.4478759e-05,0.000101879734,4.7185575e-05,0.00014366652,3.4986544e-05,0.99786454,0.00068532774,0.00052200124,1.621746e-05,0.00030195885,0.0002525707,5.0829567e-06,0.0
ERR1598865,1.6892322e-05,4.435767e-05,2.1630367e-05,5.2000512e-05,3.5218443e-05,0.99743074,0.000975315,0.00035804437,1.08537915e-05,0.0005195843,0.0005303953,4.9464716e-06,0.0
