,root:Diseases:Digestive System Diseases:Gastrointestinal Diseases:Intestinal Diseases:Colonic diseases,root:Diseases:Digestive System Diseases:Gastrointestinal Diseases:Intestinal Diseases:Inflammatory Bowel Diseases,root:Infections:Bacterial Infections and Mycoses:Bacterial Infections:Gram-Positive Bacterial Infections:Clostridium Infections,Unknown
SRR5983269,0.04674259,0.5707046,0.033802927,0.34874994
SRR6264765,0.032289535,0.029029876,0.0077573657,0.9309232
SRR6474317,0.02772075,0.0423162,0.010189265,0.9197738
ERR719974,0.032367796,0.029881269,0.008025378,0.9297255
ERR011275,0.0611192,0.1975545,0.0154798925,0.7258464
SRR5758027,0.055256695,0.12474373,0.6658306,0.15416896
SRR5651397,0.032176405,0.02880761,0.00772205,0.93129396
SRR5203212,0.032205522,0.02873236,0.0077181756,0.9313439
ERR719758,0.032422304,0.039577574,0.00905323,0.91894686
ERR1809130,0.032180995,0.028716594,0.0077127516,0.9313897
SRR5079209,0.03218144,0.028715461,0.0077126324,0.93139046
SRR5202893,0.032181203,0.028715342,0.007712513,0.93139094
SRR6724534,0.03294906,0.0428043,0.008957922,0.9152887
SRR6331462,0.032200307,0.028729051,0.007714689,0.93135595
SRR5602312,0.033135563,0.029406458,0.007926077,0.92953193
SRR7507459,0.03244385,0.028890193,0.007876843,0.9307891
SRR5091599,0.032322496,0.02950275,0.00788635,0.93028843
SRR6182409,0.049223423,0.05968994,0.008610427,0.8824762
SRR6264885,0.05289623,0.03973347,0.050839752,0.85653055
SRR6265663,0.03219211,0.028724313,0.0077192485,0.9313643
SRR5078673,0.032181203,0.028715432,0.007712513,0.9313909
SRR6265605,0.032250643,0.028853983,0.0077667534,0.9311286
SRR5648906,0.032185078,0.028717995,0.0077131093,0.93138385
SRR5343144,0.032181203,0.028715342,0.007712513,0.93139094
SRR5758081,0.07997909,0.13357715,0.78644377,0.0
SRR5813465,0.03151688,0.049021512,0.010159582,0.909302
SRR5602002,0.032181203,0.028715342,0.007712513,0.93139094
SRR5802399,0.032181174,0.028715402,0.0077126324,0.93139076
SRR6331286,0.03218299,0.028716147,0.007713735,0.9313871
SRR5078648,0.032181144,0.028715312,0.007712573,0.931391
SRR5079216,0.032181203,0.028715342,0.007712513,0.93139094
ERR525854,0.030856192,0.0316498,0.008309692,0.9291843
SRR5078900,0.032180816,0.028716326,0.0077126324,0.9313902
ERR011350,0.032179207,0.028738022,0.0077183247,0.9313644
SRR5548530,0.11769,0.21476588,0.010406822,0.6571373
ERR209177,0.03185928,0.03199917,0.008195758,0.9279458
ERR209293,0.03211522,0.029384255,0.007827461,0.93067306
SRR5813285,0.032324165,0.028916538,0.0077645183,0.93099475
SRR5757787,0.11773716,0.1048426,0.7774202,0.0
SRR5983394,0.033691436,0.11663711,0.40578592,0.44388556
SRR5942087,0.102448575,0.13315035,0.7644011,0.0
SRR6724475,0.03146261,0.031020224,0.008104324,0.92941284
ERR011180,0.032620937,0.04022196,0.009030372,0.9181267
SRR5757875,0.10298124,0.12831722,0.7687015,0.0
SRR6264104,0.06346449,0.04381171,0.16862038,0.72410345
SRR7423261,0.03228426,0.028994203,0.007768154,0.9309534
ERR209611,0.04127732,0.13099286,0.013552427,0.8141774
SRR5813422,0.031985223,0.029438794,0.007818848,0.93075716
SRR5429088,0.032938898,0.03080523,0.008206248,0.9280496
SRR5429242,0.03196597,0.03053233,0.0084427595,0.9290589
ERR525842,0.032070726,0.028953463,0.007760495,0.9312153
ERR209804,0.079318106,0.75950253,0.040243447,0.12093592
ERR011344,0.032181174,0.028716981,0.0077129304,0.9313889
SRR7507444,0.03292334,0.029283732,0.007969677,0.9298233
SRR6264519,0.08285758,0.2593112,0.014990717,0.6428405
SRR5813378,0.03162834,0.0329341,0.008296281,0.9271413
SRR5343158,0.03218195,0.028717041,0.0077127814,0.93138826
SRR6182413,0.03225854,0.028756618,0.0077474713,0.93123734
SRR1766079,0.032598466,0.029184073,0.007774085,0.9304434
SRR6264938,0.03216791,0.028866917,0.007735878,0.9312293
SRR5431552,0.032181203,0.028715342,0.007712513,0.93139094
SRR5802215,0.032181263,0.028715372,0.0077126026,0.93139076
SRR6265047,0.032182723,0.028716564,0.007712692,0.931388
SRR7464879,0.083364666,0.7617666,0.04435271,0.11051601
SRR5202898,0.032181323,0.028715461,0.007712662,0.9313905
SRR6450963,0.10928789,0.07967019,0.0100672245,0.8009747
