,root:Diseases:Digestive System Diseases:Gastrointestinal Diseases:Intestinal Diseases:Colonic diseases,root:Diseases:Digestive System Diseases:Gastrointestinal Diseases:Intestinal Diseases:Inflammatory Bowel Diseases,root:Infections:Bacterial Infections and Mycoses:Bacterial Infections:Gram-Positive Bacterial Infections:Clostridium Infections,Unknown
SRR5343141,0.006291032,0.026258886,0.011607051,0.95584303
ERR720238,0.019456506,0.1371054,0.023211688,0.82022643
SRR7507524,0.0072408915,0.047954798,0.022962272,0.92184204
ERR209779,0.006275773,0.026257098,0.011613518,0.9558536
SRR5983339,0.02061224,0.037564695,0.0131756365,0.9286474
SRR5548381,0.0031900108,0.7526837,0.025518,0.21860832
SRR5078960,0.006275773,0.026257098,0.011613518,0.9558536
SRR5429301,0.006154835,0.029380709,0.01326403,0.9512004
SRR3496378,0.023915708,0.68969524,0.024377108,0.26201195
ERR321637,0.017201513,0.20867589,0.005072087,0.7690505
SRR5601925,0.008085012,0.07234764,0.37377167,0.5457957
SRR5218371,0.0982382,0.036286384,0.008309454,0.85716593
SRR6331080,0.045830518,0.030815095,0.009117395,0.914237
SRR7507444,0.023797333,0.032520115,0.009830475,0.9338521
ERR525912,0.009814262,0.08343306,0.035069585,0.8716831
ERR720233,0.018835157,0.14872655,0.022173643,0.81026465
ERR719979,0.01699847,0.055487603,0.022217453,0.90529644
SRR5602216,0.045198888,0.08781627,0.017477512,0.84950733
SRR1687059,0.10299477,0.1373668,0.018001944,0.7416365
SRR6724596,0.031040132,0.02888468,0.008910298,0.93116486
SRR7507398,0.050819725,0.030474573,0.008469731,0.910236
ERR011199,0.006613493,0.02784893,0.01251933,0.95301825
ERR719501,0.012646973,0.057757616,0.018291265,0.9113041
ERR719405,0.02485627,0.027670652,0.008699954,0.93877316
SRR5650080,0.08588782,0.4170793,0.0060836673,0.4909492
SRR5758139,0.004938334,0.07573572,0.8353623,0.08396363
ERR719727,0.01584348,0.066116065,0.032486677,0.8855538
SRR5203184,0.012258261,0.027150154,0.010266036,0.95032555
SRR6265692,0.036556005,0.030935287,0.008274883,0.9242338
SRR5813375,0.0065713227,0.27188846,0.009286225,0.712254
SRR5649011,0.037119687,0.04972586,0.012038767,0.90111566
ERR720150,0.013202935,0.033531666,0.009824336,0.94344103
SRR5399519,0.0064840913,0.026437879,0.011667013,0.955411
ERR720163,0.0066918135,0.027408332,0.011525542,0.9543743
ERR525983,0.0064199567,0.026643276,0.011644483,0.9552923
SRR5637769,0.006275773,0.026257098,0.011613518,0.9558536
SRR5548237,0.0026789308,0.73860025,0.04906735,0.2096535
SRR5079216,0.0062761605,0.026259065,0.011613429,0.9558513
SRR5218329,0.040029675,0.38383907,0.0029443502,0.5731869
SRR5629159,0.0064943135,0.112199396,0.16767135,0.71363497
SRR5648820,0.05430588,0.030926794,0.008667439,0.9060999
ERR719712,0.008583158,0.030828327,0.01227349,0.948315
SRR6281240,0.009870768,0.027380139,0.01111868,0.9516304
SRR5813268,0.00938648,0.04512784,0.0104191005,0.9350666
SRR7507595,0.019268453,0.027807146,0.009399682,0.9435247
SRR5802374,0.01061976,0.027865857,0.011274129,0.95024025
SRR6474316,0.06676859,0.06715715,0.0063481033,0.8597262
SRR6424785,0.0032807887,0.16554779,0.11045304,0.7207184
SRR5548701,0.0038093328,0.099204004,0.058169097,0.8388176
SRR5947876,0.022018671,0.69352686,0.02377233,0.2606821
SRR7507707,0.014509976,0.027784854,0.0101147,0.9475905
SRR5091500,0.005556524,0.034251094,0.0181396,0.9420528
SRR5757968,0.005874425,0.07249212,0.1698207,0.75181276
SRR5610002,0.016149879,0.034313917,0.016329408,0.9332068
SRR5602124,0.007929742,0.048475236,0.03318596,0.9104091
SRR5078571,0.006885886,0.02677241,0.011764884,0.95457685
SRR5610060,0.019319057,0.22127411,0.004469484,0.75493735
SRR6357155,0.0068021417,0.02625233,0.011346191,0.9555993
SRR3400440,0.0026558042,0.80808866,0.042261213,0.14699435
ERR209722,0.0036539733,0.71153957,0.01912579,0.26568067
SRR7507461,0.034779727,0.031686187,0.0083914995,0.9251426
SRR5796725,0.73394716,0.10856241,0.03744492,0.12004554
SRR6185192,0.01496473,0.3617301,0.0044752657,0.6188299
SRR5429292,0.105137914,0.038767606,0.013230592,0.8428639
SRR051696,0.09634462,0.026804984,0.0054383576,0.87141204
SRR5757896,0.0063034296,0.026259124,0.011600733,0.9558367
SRR5601949,0.007327765,0.17431128,0.2778645,0.54049647
SRR5711551,0.018779635,0.05972752,0.00711149,0.9143814
SRR961699,0.0065261126,0.029120624,0.015731841,0.9486214
ERR719931,0.011209428,0.037268877,0.014010042,0.9375117
