,root:Engineered:Food_production:Dairy_products,root:Environmental:Aquatic:Thermal_springs,root:Environmental:Terrestrial:Deep_subsurface,root:Environmental:Terrestrial:Soil,root:Host-associated:Birds:Digestive_system,root:Host-associated:Human:Digestive_system,root:Host-associated:Human:Reproductive_system,root:Host-associated:Human:Respiratory_system,root:Host-associated:Human:Skin,root:Host-associated:Mammals:Digestive_system,root:Host-associated:Mammals:Gastrointestinal_tract,root:Host-associated:Plants:Root,Unknown
ERR1598450,0.00039370864,0.0011888696,0.0006952948,0.0007031868,0.00076463143,0.9892352,0.0019372127,0.0028009387,0.00071603345,0.0007518144,0.0003228292,0.0004902221,0.0
ERR1598077,0.0003937086,0.0011887804,0.0006953541,0.00070315704,0.0007646907,0.989235,0.0019372421,0.0028009384,0.0007162114,0.00075187365,0.00032282918,0.00049016275,0.0
ERR1598264,0.0003937086,0.0011888694,0.0006952947,0.00070318667,0.0007646907,0.9892351,0.0019372124,0.002800968,0.0007160927,0.0007518143,0.00032282918,0.00049019244,0.0
ERR1598796,0.00039370864,0.0011888696,0.0006952948,0.0007031868,0.00076463143,0.9892352,0.0019372127,0.0028009387,0.00071603345,0.0007518144,0.0003228292,0.0004902221,0.0
ERR1598814,0.00039370867,0.0011887806,0.0006953542,0.00070315716,0.0007646315,0.9892353,0.0019372129,0.0028009391,0.0007160929,0.00075181446,0.00032282926,0.0004902222,0.0
ERR1598905,0.0003919671,0.0011884812,0.00069501397,0.00069919735,0.00076660706,0.9892266,0.0019421226,0.00279406,0.0007199662,0.000760139,0.00032550684,0.0004903817,0.0
ERR1598514,0.0003936493,0.0011888696,0.00069535413,0.0007031571,0.00076463143,0.9892352,0.0019370939,0.002800998,0.0007161225,0.000751844,0.0003228292,0.0004901925,0.0
ERR1599094,0.00039370864,0.0011888696,0.0006952948,0.0007031868,0.00076463143,0.9892352,0.0019372127,0.0028009387,0.00071603345,0.0007518144,0.0003228292,0.0004902221,0.0
ERR1599017,0.00039362028,0.0011886045,0.0006952069,0.0007027429,0.0007648997,0.98923427,0.0019359104,0.0028025457,0.00071653904,0.000752053,0.0003229484,0.000490579,0.0
ERR1598110,0.00039370864,0.0011888696,0.0006952948,0.0007031868,0.00076463143,0.9892352,0.0019372127,0.0028009387,0.00071603345,0.0007518144,0.0003228292,0.0004902221,0.0
