,root:Engineered:Food_production,root:Environmental:Aquatic,root:Environmental:Terrestrial,root:Host-associated:Birds,root:Host-associated:Fish,root:Host-associated:Human,root:Host-associated:Mammals,root:Host-associated:Plants,Unknown
ERR1598989,0.004087463,0.00021877732,0.00412887,0.0011774952,0.004616131,0.97920734,0.004783937,0.0017799715,0.0
ERR1598322,0.0040879995,0.0002187204,0.0041299663,0.0011779176,0.0046124635,0.97919506,0.004796869,0.0017808996,0.0
ERR1599304,0.004087376,0.00021871852,0.004128753,0.0011776426,0.004616132,0.97920763,0.004783761,0.001779972,0.0
ERR1598190,0.0040873755,0.00021877735,0.004128812,0.001177613,0.004616161,0.9792073,0.0047840257,0.0017799718,0.0
ERR1598628,0.004087376,0.00021871852,0.004128753,0.0011776426,0.004616132,0.97920763,0.004783761,0.001779972,0.0
ERR1598337,0.004087288,0.00021871855,0.0041288715,0.0011775839,0.004616162,0.9792076,0.0047838795,0.001780031,0.0
ERR1599537,0.004087376,0.00021871852,0.004128753,0.0011776426,0.004616132,0.97920763,0.004783761,0.001779972,0.0
ERR1598568,0.0040873457,0.00021868906,0.0041287825,0.0011775543,0.0046162196,0.97920746,0.0047839666,0.0017799718,0.0
ERR1599073,0.004087376,0.00021871852,0.004128753,0.0011776426,0.004616132,0.97920763,0.004783761,0.001779972,0.0
ERR1599058,0.004087405,0.00021871849,0.004128812,0.0011775836,0.0046161315,0.9792075,0.0047837608,0.0017800307,0.0
ERR1598877,0.0040872875,0.00021874794,0.0041289004,0.0011775544,0.004616132,0.9792074,0.004784026,0.0017800309,0.0
ERR1599141,0.0041963053,0.00020852833,0.0040778024,0.0012222806,0.0043772985,0.97821414,0.0058923317,0.0018112605,0.0
ERR1598418,0.004087376,0.00021871852,0.004128753,0.0011776426,0.004616132,0.97920763,0.004783761,0.001779972,0.0
ERR1599509,0.0040872614,0.00021874813,0.0041292277,0.0011775848,0.0046156943,0.9792062,0.0047851778,0.00178015,0.0
ERR1598472,0.0040874043,0.00021871846,0.0041288408,0.0011775835,0.0046161897,0.9792074,0.004783819,0.0017800304,0.0
ERR1598645,0.0040872335,0.0002187482,0.0041292585,0.0011775558,0.004615637,0.9792063,0.0047851205,0.0017802389,0.0
ERR1599006,0.004087376,0.00021871852,0.004128753,0.0011776426,0.004616132,0.97920763,0.004783761,0.001779972,0.0
ERR1598170,0.0041518267,0.00021250352,0.00409898,0.0012038039,0.0044730254,0.9786475,0.005413511,0.0017988019,0.0
ERR1599614,0.004087288,0.0002186891,0.004128842,0.0011775545,0.004616074,0.9792076,0.004783938,0.001780031,0.0
ERR1598470,0.0040874635,0.00021877735,0.004128812,0.0011774953,0.0046161315,0.9792075,0.0047838488,0.0017799718,0.0
ERR1599477,0.0040873457,0.00021871849,0.004128812,0.0011776425,0.0046162196,0.97920746,0.0047838786,0.0017799718,0.0
ERR1599557,0.0040873466,0.00021871852,0.0041288123,0.0011775838,0.0046161613,0.9792075,0.0047838497,0.0017800309,0.0
ERR1598142,0.004087376,0.00021871852,0.004128753,0.0011776426,0.004616132,0.97920763,0.004783761,0.001779972,0.0
ERR1599495,0.004087376,0.00021871852,0.004128753,0.0011776426,0.004616132,0.97920763,0.004783761,0.001779972,0.0
