,root:Diseases:Digestive System Diseases:Gastrointestinal Diseases,root:Diseases:Digestive System Diseases:Liver Diseases,root:Diseases:Hemic and Lymphatic Diseases:Hematologic Diseases,root:Infections:Bacterial Infections and Mycoses:Bacterial Infections,Unknown
SRR2918849,0.01971984,0.023997664,0.16981897,0.093081266,0.69338226
ERR209782,0.816329,0.022888929,0.017736554,0.08462712,0.058418393
SRR5758174,0.16210344,0.031404853,0.13020705,0.6762847,0.0
SRR051714,0.09062141,0.025986612,0.010351568,0.015634686,0.8574057
ERR719421,0.027428448,0.015137613,0.021106243,0.0071369708,0.92919075
SRR5548539,0.816329,0.022888929,0.017736554,0.08462715,0.058418393
ERR719424,0.02763471,0.015181154,0.021084696,0.007139772,0.92895967
SRR5549079,0.816329,0.022888929,0.017736554,0.08462715,0.058418393
SRR5609999,0.02582711,0.014646947,0.02132532,0.0072412193,0.9309594
SRR6264700,0.025828004,0.014647961,0.021326095,0.0072411895,0.9309567
ERR209528,0.043457776,0.01782754,0.017335504,0.009615123,0.911764
SRR7507717,0.028087914,0.015019387,0.021721363,0.007303834,0.92786753
SRR5548428,0.81439734,0.022816032,0.017810255,0.08494061,0.060035765
SRR5495980,0.16252145,0.027335405,0.09503782,0.635423,0.07968235
SRR5629088,0.0258272,0.014647096,0.021325469,0.0072412193,0.930959
ERR719778,0.0258272,0.014647156,0.02132544,0.0072412193,0.930959
SRR5078994,0.02582711,0.014646947,0.02132532,0.0072412193,0.9309594
ERR525989,0.02582711,0.014646947,0.02132532,0.0072412193,0.9309594
SRR5813384,0.025848955,0.014669865,0.021343261,0.0072387755,0.93089914
SRR5813245,0.025918692,0.014663279,0.021348536,0.0072424114,0.9308271
ERR719957,0.025964916,0.014709175,0.02137652,0.0072365403,0.9307128
SRR6474251,0.36941206,0.028933644,0.014894038,0.021936774,0.5648235
ERR011121,0.025827259,0.014647186,0.021325469,0.0072412193,0.93095887
ERR209676,0.80736256,0.023251593,0.017973244,0.082962394,0.06845021
SRR6724557,0.3417958,0.39754093,0.055940777,0.012446463,0.19227606
SRR5610114,0.02582717,0.014646977,0.02132538,0.0072412193,0.9309592
SRR5649088,0.02582714,0.014647037,0.02132538,0.0072412193,0.9309592
SRR5648823,0.35918382,0.038345188,0.012159616,0.02335301,0.56695837
SRR6928763,0.025827259,0.014647245,0.021325529,0.007241249,0.93095875
SRR5983471,0.189771,0.02499646,0.012482017,0.021914452,0.7508361
SRR5548639,0.2801997,0.034731776,0.011398822,0.016171008,0.6574987
SRR1185482,0.16144507,0.03132298,0.13034964,0.6768823,0.0
SRR3403832,0.02582711,0.014646947,0.02132532,0.0072412193,0.9309594
SRR5648837,0.025851905,0.014676273,0.021355331,0.007241398,0.93087506
ERR210097,0.026557446,0.014652044,0.021515459,0.0072917044,0.9299834
SRR5203269,0.02582711,0.014646947,0.02132532,0.0072412193,0.9309594
SRR5396459,0.78411376,0.021767497,0.01796925,0.083334684,0.0928148
SRR6265175,0.02582711,0.014646947,0.02132532,0.0072412193,0.9309594
SRR5343208,0.02582711,0.014646947,0.02132532,0.0072412193,0.9309594
ERR720012,0.025875121,0.0146974325,0.021364868,0.0072358847,0.93082666
ERR209160,0.025929213,0.014671296,0.021353453,0.00724566,0.9308004
SRR6424598,0.16143943,0.03132233,0.13035084,0.67688745,0.0
SRR5651447,0.1000846,0.024205178,0.011981964,0.015534967,0.8481933
SRR5548548,0.816329,0.022888929,0.017736554,0.08462715,0.058418393
SRR5757771,0.1614493,0.031323314,0.1303479,0.67687947,0.0
ERR011232,0.026059926,0.014814466,0.021454096,0.007225424,0.9304461
SRR7423252,0.09268537,0.019771874,0.012128264,0.023731649,0.85168284
SRR5580427,0.02588895,0.014712453,0.021376401,0.007234156,0.93078804
SRR5650046,0.02596727,0.014634401,0.021378785,0.007257402,0.9307622
SRR6185213,0.025831014,0.014651954,0.021330863,0.0072414577,0.9309447
SRR5610061,0.02582711,0.014646947,0.02132532,0.0072412193,0.9309594
ERR209153,0.025886804,0.014700919,0.021367967,0.0072360635,0.93080825
SRR5983479,0.8163286,0.022889107,0.017736763,0.08462787,0.058417678
ERR209530,0.02583459,0.014654428,0.02133128,0.007240474,0.9309392
SRR5813432,0.02582711,0.014646947,0.02132532,0.0072412193,0.9309594
SRR5602113,0.025911689,0.014735401,0.02139631,0.0072327554,0.93072385
ERR209205,0.025839686,0.014658451,0.02133435,0.007240087,0.9309274
ERR209543,0.025827646,0.014648199,0.021327257,0.0072414875,0.9309554
SRR1930247,0.546626,0.02496311,0.016319394,0.03922516,0.37286633
SRR5648793,0.025828063,0.01464811,0.021326393,0.007241279,0.9309561
SRR5649172,0.025827289,0.014647305,0.021325558,0.0072412193,0.9309586
SRR2142189,0.8111254,0.023027271,0.017705679,0.08266097,0.06548065
SRR5610086,0.025827825,0.014647663,0.021325886,0.00724113,0.9309575
SRR5020909,0.025899619,0.014711618,0.021450818,0.0072596967,0.93067825
SRR051669,0.7771715,0.042046517,0.035958618,0.11943507,0.02538824
ERR695608,0.026050568,0.01467526,0.02137959,0.007247716,0.9306469
SRR5578987,0.025835186,0.014657229,0.021336973,0.0072417855,0.9309288
SRR5796721,0.027275324,0.015570283,0.022156715,0.0072541237,0.92774355
SRR1008735,0.81632847,0.022888899,0.017736584,0.08462733,0.05841869
SRR5549035,0.816329,0.022888929,0.017736554,0.08462715,0.058418393
SRR5649158,0.025997788,0.014820546,0.021460325,0.00722304,0.9304983
SRR6265545,0.02582711,0.014646947,0.02132532,0.0072412193,0.9309594
SRR5757873,0.16439293,0.03172376,0.12952624,0.67435706,0.0
SRR5637796,0.02582711,0.014646947,0.02132532,0.0072412193,0.9309594
SRR7008028,0.025885254,0.014695197,0.021584392,0.0073085427,0.9305266
SRR5428903,0.0836499,0.1555739,0.5354097,0.0597997,0.1655668
SRR5602109,0.02592063,0.014718324,0.021402895,0.00723961,0.93071854
SRR5648918,0.05393237,0.008807391,0.05229336,0.02186346,0.8631034
SRR6724492,0.38932526,0.44244823,0.046557903,0.012642533,0.109026074
SRR6901802,0.026296616,0.0149565935,0.021517158,0.0072087348,0.9300209
SRR5091488,0.07831395,0.025209457,0.011574537,0.012844205,0.87205786
ERR719738,0.13389757,0.026955992,0.011083424,0.017760575,0.81030244
ERR525949,0.036949307,0.017396033,0.016109288,0.009868979,0.9196764
ERR720120,0.025866777,0.0146895945,0.021365136,0.007239759,0.9308387
ERR321535,0.026765794,0.0148047805,0.021412492,0.0072363913,0.92978054
SRR5548200,0.81632614,0.022888988,0.017736465,0.08462593,0.058422446
ERR719734,0.17289251,0.026692957,0.011823267,0.019884825,0.76870644
SRR5429213,0.08362049,0.15559658,0.5352509,0.059766114,0.16576594
SRR3313059,0.25426975,0.02034691,0.016971827,0.029335707,0.67907584
SRR2142221,0.16144018,0.031322155,0.1303499,0.67688775,0.0
SRR5580471,0.025840133,0.01466167,0.02133885,0.0072405934,0.93091875
ERR719130,0.0258272,0.014647156,0.021325529,0.0072412193,0.93095887
ERR209862,0.816329,0.022888929,0.017736554,0.08462715,0.058418393
ERR719185,0.026722819,0.015009671,0.02154553,0.0072068274,0.9295151
SRR5548177,0.8146621,0.022845417,0.017747551,0.084468365,0.060276628
ERR505088,0.025870532,0.014659613,0.021340251,0.007241577,0.93088806
SRR7082915,0.025997967,0.014789373,0.02146396,0.007235825,0.9305129
SRR5903755,0.3754278,0.4181111,0.048908412,0.014117539,0.14343512
SRR6331145,0.02582711,0.014646947,0.02132532,0.0072412193,0.9309594
SRR6264315,0.02582711,0.014646947,0.02132532,0.0072412193,0.9309594
SRR7507522,0.025839627,0.014659554,0.021334887,0.0072398186,0.9309261
SRR053014,0.8034433,0.02200833,0.01797235,0.08668926,0.0698868
SRR5903322,0.02582711,0.014646947,0.02132532,0.0072412193,0.9309594
ERR209711,0.68829197,0.025762588,0.016651422,0.049919337,0.21937466
ERR209330,0.02597332,0.014710546,0.021377683,0.007238716,0.9306997
SRR5601988,0.7982429,0.023362726,0.01861903,0.08499479,0.074780464
SRR5803649,0.02582711,0.014647067,0.02132535,0.0072412193,0.9309592
ERR209206,0.025838077,0.014655113,0.021331877,0.007240474,0.9309344
SRR5091612,0.026089132,0.014676601,0.021392077,0.007250756,0.93059146
SRR5548497,0.8162532,0.022886366,0.017739862,0.08464077,0.058479786
ERR720067,0.02586019,0.014681876,0.021352887,0.0072375834,0.93086743
ERR695613,0.21953863,0.041353732,0.011148065,0.014968455,0.7129911
SRR5866291,0.02582717,0.014647067,0.02132541,0.0072412193,0.9309591
SRR5577173,0.81577134,0.02336961,0.018190026,0.08598173,0.056687295
SRR5580615,0.02586931,0.014691621,0.021360487,0.00723657,0.93084204
SRR5757841,0.16004114,0.031847045,0.13078617,0.6773256,0.0
SRR5078644,0.0258272,0.014647126,0.021325499,0.0072412193,0.930959
SRR5580550,0.025916815,0.014741302,0.02140233,0.0072327256,0.93070686
SRR5429088,0.08359784,0.13993925,0.47180933,0.05934784,0.24530578
SRR6901804,0.041537404,0.036507696,0.03573656,0.006507933,0.87971044
SRR5203288,0.02582711,0.014646947,0.02132532,0.0072412193,0.9309594
SRR5579011,0.034779757,0.012668937,0.037027657,0.012449771,0.9030739
ERR525828,0.42094642,0.028489232,0.015236437,0.024810642,0.51051724
ERR011116,0.02582711,0.014646947,0.02132532,0.0072412193,0.9309594
SRR6450948,0.81623405,0.022902697,0.017759353,0.08470157,0.05840242
ERR719189,0.026843548,0.015008867,0.021541834,0.007211417,0.92939436
SRR5758171,0.16143943,0.03132233,0.13035084,0.67688745,0.0
ERR209188,0.06897047,0.16381642,0.116291255,0.009473562,0.64144826
SRR051676,0.07754487,0.13772976,0.51452214,0.06148991,0.2087133
SRR1008700,0.816329,0.022888929,0.017736554,0.08462715,0.058418393
SRR961692,0.025866508,0.014685303,0.021355838,0.007237494,0.93085486
SRR5610083,0.027094066,0.014947027,0.021696001,0.0073035955,0.9289593
ERR634980,0.21453953,0.01721692,0.017181128,0.036588848,0.7144736
SRR6264980,0.02592662,0.014756024,0.021433562,0.0072406232,0.9306432
SRR5637814,0.39912504,0.010798842,0.022288382,0.11301616,0.45477158
ERR719536,0.026456743,0.014776349,0.021390438,0.007272005,0.9301045
ERR209377,0.025836676,0.014658809,0.021338224,0.0072416365,0.93092465
ERR719967,0.025928319,0.014707476,0.02137199,0.0072354674,0.93075675
SRR5610153,0.02582711,0.014647067,0.021325469,0.0072412193,0.9309591
SRR5648969,0.025942057,0.014719963,0.021386534,0.0072361827,0.93071526
SRR6264633,0.02582711,0.014646947,0.02132532,0.0072412193,0.9309594
SRR5761754,0.025839657,0.014661342,0.02133885,0.0072407722,0.9309194
SRR5610120,0.025858521,0.01467973,0.021351397,0.0072378814,0.93087244
SRR5203321,0.025886327,0.014710724,0.021378934,0.0072362125,0.9307878
ERR720033,0.025876522,0.014695764,0.021362692,0.0072357655,0.9308293
ERR209416,0.02582711,0.014647007,0.02132541,0.0072412193,0.9309592
SRR5548670,0.8163259,0.022889286,0.01773715,0.08462882,0.05841887
SRR5078824,0.02582711,0.014646947,0.02132532,0.0072412193,0.9309594
SRR5202864,0.02582711,0.014646947,0.02132532,0.0072412193,0.9309594
SRR5203225,0.025831103,0.014651328,0.021328986,0.0072407722,0.9309478
SRR5610052,0.026058882,0.014874488,0.021606594,0.0072610974,0.9301989
SRR7507364,0.027414799,0.014497936,0.022076428,0.0076384842,0.9283724
ERR209841,0.02587372,0.014666706,0.02134332,0.007240087,0.93087614
ERR321444,0.03843981,0.01740998,0.017656088,0.009016514,0.9174776
ERR525857,0.02582711,0.014646947,0.02132532,0.0072412193,0.9309594
ERR720232,0.07082307,0.023887873,0.010753244,0.014490902,0.88004494
SRR5431370,0.02582711,0.014646947,0.02132532,0.0072412193,0.9309594
SRR961850,0.025843382,0.014660269,0.021336168,0.007240027,0.9309201
SRR1999214,0.4570738,0.011955649,0.02161625,0.10792956,0.40142477
